DistributionID,PP,MeanConnectivity,MeanAvailability,MinConnectivity,MinAvailability,ParameterValue
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.025
0.25,0.14624505928853754,0.48783783783783785,0.12432432432432436,0.05,0.1,0.025
0.5,0.5019762845849802,0.7366141732283467,0.5070866141732284,0.35,0.15,0.025
0.75,0.21739130434782608,0.24090909090909088,0.3209090909090909,0.05,0.2,0.025
1.0,0.05928853754940711,0.37999999999999995,0.4233333333333334,0.25,0.25,0.025
0.0,0.15019762845849802,0.35131578947368425,0.09342105263157896,0.05,0.05,0.125
0.25,0.383399209486166,0.506701030927835,0.25103092783505143,0.05,0.1,0.125
0.5,0.25296442687747034,0.8234375000000002,0.6250000000000001,0.6,0.35,0.125
0.75,0.1857707509881423,0.4414893617021276,0.47021276595744693,0.05,0.35,0.125
1.0,0.02766798418972332,0.5857142857142856,0.5642857142857143,0.5,0.45,0.125
0.0,0.30434782608695654,0.35129870129870133,0.15909090909090912,0.05,0.05,0.225
0.25,0.5177865612648221,0.586259541984733,0.382824427480916,0.05,0.1,0.225
0.5,0.09881422924901186,0.8899999999999999,0.7499999999999999,0.75,0.55,0.225
0.75,0.06324110671936758,0.678125,0.63125,0.5,0.55,0.225
1.0,0.015810276679841896,0.7749999999999999,0.675,0.7,0.6,0.225
0.0,0.48616600790513836,0.38861788617886184,0.2146341463414634,0.05,0.05,0.325
0.25,0.4743083003952569,0.69375,0.4920833333333333,0.2,0.2,0.325
0.5,0.023715415019762844,0.9333333333333332,0.875,0.9,0.8,0.325
0.75,0.015810276679841896,0.85,0.8125000000000001,0.8,0.8,0.325
1.0,0.0,NaN,NaN,NaN,NaN,0.325
0.0,0.6600790513833992,0.4407185628742515,0.2580838323353293,0.05,0.05,0.425
0.25,0.33992094861660077,0.7726744186046514,0.5912790697674418,0.4,0.3,0.425
0.5,0.0,NaN,NaN,NaN,NaN,0.425
0.75,0.0,NaN,NaN,NaN,NaN,0.425
1.0,0.0,NaN,NaN,NaN,NaN,0.425
