DistributionID,PP,MeanConnectivity,MeanAvailability,MinConnectivity,MinAvailability,ParameterValue
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.025
0.25,0.09090909090909091,0.5391304347826087,0.10869565217391304,0.05,0.1,0.025
0.5,0.5454545454545454,0.7213768115942029,0.49202898550724644,0.35,0.15,0.025
0.75,0.20948616600790515,0.22830188679245286,0.27264150943396226,0.05,0.15,0.025
1.0,0.07905138339920949,0.32499999999999996,0.40750000000000003,0.2,0.25,0.025
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.125
0.25,0.18972332015810275,0.6072916666666667,0.14895833333333333,0.05,0.1,0.125
0.5,0.39920948616600793,0.7529702970297031,0.55990099009901,0.4,0.3,0.125
0.75,0.2648221343873518,0.27014925373134324,0.3134328358208956,0.05,0.15,0.125
1.0,0.07114624505928854,0.4027777777777778,0.46111111111111114,0.25,0.3,0.125
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.225
0.25,0.2727272727272727,0.6007246376811595,0.1789855072463768,0.05,0.1,0.225
0.5,0.2845849802371542,0.7888888888888891,0.6215277777777779,0.5,0.4,0.225
0.75,0.30039525691699603,0.31842105263157894,0.35723684210526324,0.05,0.2,0.225
1.0,0.06719367588932806,0.4764705882352941,0.5147058823529411,0.3,0.4,0.225
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.325
0.25,0.35968379446640314,0.6120879120879121,0.21538461538461537,0.05,0.1,0.325
0.5,0.19367588932806323,0.8244897959183676,0.6795918367346939,0.6,0.5,0.325
0.75,0.3201581027667984,0.3351851851851852,0.40246913580246924,0.05,0.2,0.325
1.0,0.05138339920948617,0.5615384615384615,0.5769230769230769,0.4,0.5,0.325
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.425
0.25,0.42292490118577075,0.6233644859813084,0.24485981308411217,0.05,0.1,0.425
0.5,0.1225296442687747,0.8596774193548385,0.7370967741935484,0.7,0.6,0.425
0.75,0.3438735177865613,0.3620689655172414,0.43793103448275866,0.05,0.2,0.425
1.0,0.03557312252964427,0.6333333333333333,0.65,0.5,0.6,0.425
0.0,0.07509881422924901,0.5,0.05,0.05,0.05,0.525
0.25,0.4980237154150198,0.6305555555555556,0.27896825396825403,0.05,0.1,0.525
0.5,0.07114624505928854,0.8861111111111111,0.7972222222222223,0.75,0.7,0.525
0.75,0.3359683794466403,0.37117647058823533,0.47,0.05,0.2,0.525
1.0,0.019762845849802372,0.7200000000000001,0.71,0.65,0.7,0.525
0.0,0.09881422924901186,0.578,0.06200000000000002,0.05,0.05,0.625
0.25,0.541501976284585,0.6255474452554746,0.3178832116788321,0.05,0.1,0.625
0.5,0.03557312252964427,0.9111111111111112,0.8555555555555556,0.85,0.8,0.625
0.75,0.3201581027667984,0.38148148148148153,0.49814814814814823,0.05,0.2,0.625
1.0,0.003952569169960474,0.8,0.8,0.8,0.8,0.625
0.0,0.11462450592885376,0.5775862068965517,0.06724137931034484,0.05,0.05,0.725
0.25,0.5928853754940712,0.6333333333333334,0.3566666666666667,0.05,0.1,0.725
0.5,0.011857707509881422,0.9333333333333332,0.9166666666666666,0.9,0.9,0.725
0.75,0.28063241106719367,0.35915492957746487,0.5035211267605633,0.05,0.2,0.725
1.0,0.0,NaN,NaN,NaN,NaN,0.725
0.0,0.1225296442687747,0.567741935483871,0.06935483870967743,0.05,0.05,0.825
0.25,0.6442687747035574,0.6380368098159509,0.3861963190184049,0.05,0.1,0.825
0.5,0.0,NaN,NaN,NaN,NaN,0.825
0.75,0.233201581027668,0.3127118644067797,0.48898305084745763,0.05,0.2,0.825
1.0,0.0,NaN,NaN,NaN,NaN,0.825
0.0,0.12648221343873517,0.5609375,0.07031250000000001,0.05,0.05,0.925
0.25,0.6877470355731226,0.6376436781609196,0.4054597701149425,0.05,0.1,0.925
0.5,0.0,NaN,NaN,NaN,NaN,0.925
0.75,0.1857707509881423,0.2372340425531915,0.45000000000000007,0.05,0.2,0.925
1.0,0.0,NaN,NaN,NaN,NaN,0.925
